chemical,protein,combined_score
CID000065533,ENSP00000002165,0.214
CID000017106,ENSP00000002165,0.948
CID000065369,ENSP00000002165,0.356
CID000440658,ENSP00000002165,0.176
CID000000961,ENSP00000002165,0.9
CID000000283,ENSP00000002165,0.306
CID000006057,ENSP00000002165,0.357
CID000439174,ENSP00000002165,0.448
CID000000887,ENSP00000002165,0.9
CID000439236,ENSP00000002165,0.222
CID000006579,ENSP00000002165,0.26
CID000000753,ENSP00000002165,0.301
CID000003469,ENSP00000002165,0.164
CID000105024,ENSP00000002165,0.357
CID000017473,ENSP00000002165,0.177
CID000439195,ENSP00000002165,0.177
CID000018950,ENSP00000002165,0.327
CID000007244,ENSP00000002165,0.179
CID000000783,ENSP00000002596,0.9
CID000000712,ENSP00000002596,0.15
CID000010214,ENSP00000002596,0.9
CID000159296,ENSP00000002596,0.989
CID000001117,ENSP00000002596,0.492
CID000010238,ENSP00000002596,0.516
CID000002336,ENSP00000002596,0.15
CID000094715,ENSP00000002596,0.207
CID000444795,ENSP00000002596,0.15
CID000000961,ENSP00000010404,0.9
CID000005957,ENSP00000010404,0.199
CID000000783,ENSP00000010404,0.9
CID000006830,ENSP00000010404,0.199
CID000033032,ENSP00000010404,0.9
CID000002519,ENSP00000010404,0.15
CID000000785,ENSP00000010404,0.15
CID000124886,ENSP00000010404,0.983
CID000006623,ENSP00000010404,0.7
CID000000991,ENSP00000010404,0.15
CID000005757,ENSP00000010404,0.15
CID000015625,ENSP00000010404,0.15
CID000063090,ENSP00000010404,0.15
CID000105131,ENSP00000010404,0.9
CID000107744,ENSP00000010404,0.9
CID000000753,ENSP00000010404,0.182
CID000445049,ENSP00000010404,0.447
CID005280360,ENSP00000010404,0.208
CID005280383,ENSP00000010404,0.167
CID005280493,ENSP00000010404,0.824
CID000003314,ENSP00000010404,0.15
CID000853433,ENSP00000010404,0.15
CID000002336,ENSP00000010404,0.15
CID000007839,ENSP00000010404,0.908
CID000155957,ENSP00000010404,0.9
CID000444795,ENSP00000010404,0.15
CID000006575,ENSP00000010404,0.9
CID011094749,ENSP00000010404,0.9
CID011954051,ENSP00000010404,0.9
CID011954053,ENSP00000010404,0.9
CID000108121,ENSP00000010404,0.9
CID003036760,ENSP00000010404,0.9
CID000037786,ENSP00000010404,0.9
CID000025892,ENSP00000010404,0.9
CID000041322,ENSP00000010404,0.15
CID000119521,ENSP00000010404,0.9
CID000006576,ENSP00000010404,0.9
CID000006577,ENSP00000010404,0.9
CID011954073,ENSP00000010404,0.9
CID000440117,ENSP00000013034,0.158
CID000000961,ENSP00000013034,0.9
CID000005957,ENSP00000013034,0.932
CID000000977,ENSP00000013034,0.201
CID000006022,ENSP00000013034,0.989
CID000001003,ENSP00000013034,0.93
CID000001023,ENSP00000013034,0.959
CID000000783,ENSP00000013034,0.9
CID000005884,ENSP00000013034,0.176
CID000000222,ENSP00000013034,0.9
CID000008977,ENSP00000013034,0.905
CID000006830,ENSP00000013034,0.927
CID000010214,ENSP00000013034,0.241
CID000005961,ENSP00000013034,0.9
CID000008583,ENSP00000013034,0.905
CID000006831,ENSP00000013034,0.905
CID000015993,ENSP00000013034,0.9
CID000188966,ENSP00000013034,0.9
CID000033032,ENSP00000013034,0.9
CID000006274,ENSP00000013034,0.241
CID000000702,ENSP00000013034,0.234
CID000000297,ENSP00000013034,0.15
CID000024316,ENSP00000013034,0.578
CID000146302,ENSP00000013034,0.9
CID000038166,ENSP00000013034,0.191
CID000007420,ENSP00000013034,0.156
CID000006031,ENSP00000013034,0.924
CID000005757,ENSP00000013034,0.15
CID000006176,ENSP00000013034,0.91
CID000006133,ENSP00000013034,0.906
CID000006030,ENSP00000013034,0.9
CID000006132,ENSP00000013034,0.923
CID000164628,ENSP00000013034,0.929
CID000009700,ENSP00000013034,0.9
CID000065063,ENSP00000013034,0.905
CID000065091,ENSP00000013034,0.9
CID000064968,ENSP00000013034,0.904
CID000065070,ENSP00000013034,0.914
CID000002907,ENSP00000013034,0.161
CID000006329,ENSP00000013034,0.641
CID000000679,ENSP00000013034,0.199
CID000000753,ENSP00000013034,0.33
CID000006076,ENSP00000013034,0.23
CID000065103,ENSP00000013034,0.921
CID000439220,ENSP00000013034,0.921
CID000145729,ENSP00000013034,0.909
CID000000533,ENSP00000013034,0.241
CID000105024,ENSP00000013034,0.241
CID000025076,ENSP00000013034,0.8
CID000161597,ENSP00000013034,0.15
CID000444485,ENSP00000013034,0.152
CID000002336,ENSP00000013034,0.15
CID000000784,ENSP00000013034,0.209
CID000006131,ENSP00000013034,0.9
CID000150855,ENSP00000013034,0.9
CID000444795,ENSP00000013034,0.15
CID000002353,ENSP00000013034,0.8
CID000000961,ENSP00000013222,0.9
CID000000977,ENSP00000013222,0.9
CID000000783,ENSP00000013222,0.9
CID000005884,ENSP00000013222,0.9
CID000005885,ENSP00000013222,0.903
CID000000712,ENSP00000013222,0.9
CID000006322,ENSP00000013222,0.176
CID000034755,ENSP00000013222,0.9
CID000000249,ENSP00000013222,0.167
CID000439155,ENSP00000013222,0.99
CID000439176,ENSP00000013222,0.169
CID000006031,ENSP00000013222,0.9
CID000001150,ENSP00000013222,0.978
CID011953815,ENSP00000013222,0.222
CID000001015,ENSP00000013222,0.248
CID000439436,ENSP00000013222,0.167
CID000151438,ENSP00000013222,0.176
CID000006088,ENSP00000013222,0.199
CID000441066,ENSP00000013222,0.258
CID000089594,ENSP00000013222,0.9
CID000017473,ENSP00000013222,0.9
CID000005202,ENSP00000013222,0.9
CID000041322,ENSP00000013222,0.15
CID023724458,ENSP00000017003,0.9
CID000000783,ENSP00000017003,0.9
CID023724459,ENSP00000017003,0.938
CID000006031,ENSP00000017003,0.923
CID000135191,ENSP00000017003,0.18
CID005462314,ENSP00000017003,0.18
CID023724458,ENSP00000029410,0.9
CID000000783,ENSP00000029410,0.9
CID000023930,ENSP00000029410,0.67
CID000001117,ENSP00000029410,0.209
CID023724459,ENSP00000029410,0.908
CID003086191,ENSP00000029410,0.181
CID000006031,ENSP00000029410,0.966
CID000007416,ENSP00000029410,0.174
CID000007005,ENSP00000029410,0.159
CID000017473,ENSP00000029410,0.175
CID000135191,ENSP00000029410,0.18
CID000035717,ENSP00000035307,0.167
CID000000783,ENSP00000035307,0.9
CID023724461,ENSP00000035307,0.9
CID000006031,ENSP00000035307,0.9
CID000005994,ENSP00000035307,0.15
CID000017473,ENSP00000035307,0.907
CID000094715,ENSP00000035307,0.182
CID000108121,ENSP00000035307,0.23
CID000000961,ENSP00000040663,0.9
CID000001003,ENSP00000040663,0.907
CID000000190,ENSP00000040663,0.904
CID000000473,ENSP00000040663,0.27
CID000439176,ENSP00000040663,0.922
CID000440041,ENSP00000040663,0.18
CID011988266,ENSP00000040663,0.9
CID000174549,ENSP00000040663,0.963
CID005462190,ENSP00000040663,0.165
CID000000561,ENSP00000040663,0.9
CID005280451,ENSP00000040663,0.182
CID000105024,ENSP00000040663,0.569
CID005280343,ENSP00000040663,0.15
CID000000961,ENSP00000074304,0.9
CID000005957,ENSP00000074304,0.9
CID000006022,ENSP00000074304,0.9
CID000001003,ENSP00000074304,0.911
CID000000983,ENSP00000074304,0.364
CID000440194,ENSP00000074304,0.9
CID000015625,ENSP00000074304,0.15
CID000000890,ENSP00000074304,0.45
CID000439455,ENSP00000074304,0.955
CID000128419,ENSP00000074304,0.9
CID000440211,ENSP00000074304,0.964
CID000005793,ENSP00000156626,0.159
CID000005988,ENSP00000156626,0.164
CID000005957,ENSP00000156626,0.186
CID000001003,ENSP00000156626,0.161
CID000000750,ENSP00000156626,0.214
CID000000712,ENSP00000156626,0.17
CID005280453,ENSP00000156626,0.15
CID000015993,ENSP00000156626,0.195
CID000001174,ENSP00000156626,0.169
CID000006274,ENSP00000156626,0.166
CID000001021,ENSP00000156626,0.161
CID000004971,ENSP00000156626,0.26
CID000000996,ENSP00000156626,0.256
CID000000702,ENSP00000156626,0.233
CID000448209,ENSP00000156626,0.915
CID000439197,ENSP00000156626,0.457
CID000006579,ENSP00000156626,0.188
CID000000713,ENSP00000156626,0.194
CID000006013,ENSP00000156626,0.15
CID000006032,ENSP00000156626,0.235
CID000000753,ENSP00000156626,0.354
CID000105024,ENSP00000156626,0.175
CID000006131,ENSP00000156626,0.92
CID000444493,ENSP00000164139,0.162
CID000005793,ENSP00000164139,0.547
CID000000175,ENSP00000164139,0.349
CID000001132,ENSP00000164139,0.204
CID000001005,ENSP00000164139,0.252
CID000065533,ENSP00000164139,0.989
CID000105021,ENSP00000164139,0.208
CID000005988,ENSP00000164139,0.37
CID000000961,ENSP00000164139,0.193
CID000005957,ENSP00000164139,0.937
CID000000977,ENSP00000164139,0.199
CID000006022,ENSP00000164139,0.908
CID000001003,ENSP00000164139,0.942
CID000001023,ENSP00000164139,0.208
CID000001110,ENSP00000164139,0.264
CID000005885,ENSP00000164139,0.192
CID000023930,ENSP00000164139,0.907
CID000000280,ENSP00000164139,0.252
CID000000750,ENSP00000164139,0.288
CID000000283,ENSP00000164139,0.191
CID000000712,ENSP00000164139,0.196
CID000000985,ENSP00000164139,0.202
CID000000180,ENSP00000164139,0.257
CID000000222,ENSP00000164139,0.205
CID000006083,ENSP00000164139,0.992
CID000006830,ENSP00000164139,0.182
CID000001117,ENSP00000164139,0.256
CID000005961,ENSP00000164139,0.182
CID000007339,ENSP00000164139,0.151
CID000008582,ENSP00000164139,0.865
CID000015993,ENSP00000164139,0.163
CID000000190,ENSP00000164139,0.923
CID000060961,ENSP00000164139,0.32
CID000006322,ENSP00000164139,0.182
CID000016950,ENSP00000164139,0.213
CID000093072,ENSP00000164139,0.18
CID000000586,ENSP00000164139,0.343
CID000001102,ENSP00000164139,0.232
CID000001174,ENSP00000164139,0.181
CID000006274,ENSP00000164139,0.182
CID000001103,ENSP00000164139,0.161
CID000002519,ENSP00000164139,0.878
CID000068841,ENSP00000164139,0.979
CID000000996,ENSP00000164139,0.251
CID000000378,ENSP00000164139,0.162
CID000064689,ENSP00000164139,0.364
CID000066370,ENSP00000164139,0.915
CID000000702,ENSP00000164139,0.32
CID000439284,ENSP00000164139,0.983
CID011020241,ENSP00000164139,0.257
CID000005958,ENSP00000164139,0.159
CID000439178,ENSP00000164139,0.201
CID000016500,ENSP00000164139,0.199
CID000007427,ENSP00000164139,0.195
CID000082400,ENSP00000164139,0.184
CID000439874,ENSP00000164139,0.153
CID000000887,ENSP00000164139,0.33
CID000003776,ENSP00000164139,0.18
CID000000174,ENSP00000164139,0.183
CID000123996,ENSP00000164139,0.159
CID000000297,ENSP00000164139,0.162
CID000222528,ENSP00000164139,0.198
CID000439236,ENSP00000164139,0.288
CID000439176,ENSP00000164139,0.308
CID000001051,ENSP00000164139,0.978
CID000001130,ENSP00000164139,0.189
CID000009395,ENSP00000164139,0.151
CID000006579,ENSP00000164139,0.399
CID000003385,ENSP00000164139,0.181
CID000005790,ENSP00000164139,0.18
CID000018343,ENSP00000164139,0.325
CID000010267,ENSP00000164139,0.192
CID000439544,ENSP00000164139,0.161
CID000000943,ENSP00000164139,0.345
CID000145068,ENSP00000164139,0.157
CID000006030,ENSP00000164139,0.161
CID000001135,ENSP00000164139,0.183
CID000005789,ENSP00000164139,0.878
CID000006029,ENSP00000164139,0.234
CID000009700,ENSP00000164139,0.18
CID000000597,ENSP00000164139,0.157
CID000000764,ENSP00000164139,0.159
CID000006306,ENSP00000164139,0.258
CID000005962,ENSP00000164139,0.18
CID000000602,ENSP00000164139,0.182
CID000023327,ENSP00000164139,0.172
CID000000937,ENSP00000164139,0.271
CID000439924,ENSP00000164139,0.254
CID000161233,ENSP00000164139,0.254
CID000001054,ENSP00000164139,0.207
CID000079014,ENSP00000164139,0.162
CID000000263,ENSP00000164139,0.18
CID000000679,ENSP00000164139,0.868
CID000439162,ENSP00000164139,0.17
CID000000753,ENSP00000164139,0.9
CID000013730,ENSP00000164139,0.167
CID000006076,ENSP00000164139,0.398
CID000006802,ENSP00000164139,0.181
CID000000767,ENSP00000164139,0.182
CID000006021,ENSP00000164139,0.239
CID000187790,ENSP00000164139,0.224
CID000000790,ENSP00000164139,0.23
CID000439260,ENSP00000164139,0.181
CID000005815,ENSP00000164139,0.562
CID000105024,ENSP00000164139,0.151
CID000000611,ENSP00000164139,0.162
CID000001140,ENSP00000164139,0.182
CID000002336,ENSP00000164139,0.15
CID000018950,ENSP00000164139,0.199
CID000013711,ENSP00000164139,0.177
CID009548602,ENSP00000164139,0.255
CID000006421,ENSP00000164139,0.332
CID000009427,ENSP00000164139,0.161
CID000000977,ENSP00000166534,0.9
CID000001110,ENSP00000166534,0.9
CID000000280,ENSP00000166534,0.9
CID000000743,ENSP00000166534,0.236
CID000000051,ENSP00000166534,0.922
CID000145742,ENSP00000166534,0.9
CID011020241,ENSP00000166534,0.244
CID000126041,ENSP00000166534,0.171
CID012011795,ENSP00000166534,0.209
CID000439389,ENSP00000166534,0.226
CID000005757,ENSP00000166534,0.15
CID000015625,ENSP00000166534,0.15
CID000000679,ENSP00000166534,0.285
CID000000753,ENSP00000166534,0.316
CID000000547,ENSP00000166534,0.209
CID000348154,ENSP00000166534,0.209
CID000105024,ENSP00000166534,0.285
CID000001647,ENSP00000166534,0.166
CID000002336,ENSP00000166534,0.15
CID000005810,ENSP00000166534,0.909
CID000444795,ENSP00000166534,0.15
CID000444493,ENSP00000168216,0.9
CID000005793,ENSP00000168216,0.18
CID000000961,ENSP00000168216,0.91
CID000005892,ENSP00000168216,0.991
CID000439153,ENSP00000168216,0.911
CID000000783,ENSP00000168216,0.9
CID000092753,ENSP00000168216,0.9
CID000087642,ENSP00000168216,0.9
CID000001174,ENSP00000168216,0.174
CID011966171,ENSP00000168216,0.953
CID000001130,ENSP00000168216,0.15
CID025137843,ENSP00000168216,0.9
CID000006306,ENSP00000168216,0.243
CID000193425,ENSP00000168216,0.9
CID006443760,ENSP00000168216,0.9
CID011966220,ENSP00000168216,0.9
CID000006032,ENSP00000168216,0.379
CID000000753,ENSP00000168216,0.915
CID000439195,ENSP00000168216,0.152
CID000000961,ENSP00000168977,0.9
CID000005957,ENSP00000168977,0.9
CID000005892,ENSP00000168977,0.923
CID000006022,ENSP00000168977,0.91
CID000001003,ENSP00000168977,0.9
CID000001023,ENSP00000168977,0.9
CID000000783,ENSP00000168977,0.907
CID000006083,ENSP00000168977,0.161
CID000001066,ENSP00000168977,0.166
CID005280700,ENSP00000168977,0.165
CID000123658,ENSP00000168977,0.198
CID000439184,ENSP00000168977,0.165
CID000000216,ENSP00000168977,0.165
CID000440364,ENSP00000168977,0.165
CID000065091,ENSP00000168977,0.191
CID000065070,ENSP00000168977,0.207
CID000014180,ENSP00000168977,0.9
CID000121991,ENSP00000168977,0.159
CID000439924,ENSP00000168977,0.966
CID000000796,ENSP00000168977,0.193
CID000161233,ENSP00000168977,0.199
CID000069698,ENSP00000168977,0.159
CID000439645,ENSP00000168977,0.178
CID000145729,ENSP00000168977,0.165
CID000088052,ENSP00000168977,0.159
CID000000783,ENSP00000169298,0.9
CID000445675,ENSP00000169298,0.204
CID000448209,ENSP00000169298,0.973
CID000439197,ENSP00000169298,0.286
CID000222528,ENSP00000169298,0.719
CID000000991,ENSP00000169298,0.7
CID000002554,ENSP00000169298,0.222
CID000005757,ENSP00000169298,0.15
CID000006306,ENSP00000169298,0.161
CID000015625,ENSP00000169298,0.15
CID000000753,ENSP00000169298,0.232
CID000105024,ENSP00000169298,0.175
CID005280343,ENSP00000169298,0.15
CID000002336,ENSP00000169298,0.15
CID000006131,ENSP00000169298,0.921
CID000005793,ENSP00000175506,0.161
CID000005988,ENSP00000175506,0.17
CID000000961,ENSP00000175506,0.9
CID000005957,ENSP00000175506,0.914
CID000001023,ENSP00000175506,0.903
CID000000783,ENSP00000175506,0.9
CID000000222,ENSP00000175506,0.328
CID000006083,ENSP00000175506,0.932
CID000005961,ENSP00000175506,0.948
CID000001176,ENSP00000175506,0.207
CID000000278,ENSP00000175506,0.165
CID000033032,ENSP00000175506,0.909
CID000005960,ENSP00000175506,0.916
CID000006267,ENSP00000175506,0.923
CID000439716,ENSP00000175506,0.155
CID000076406,ENSP00000175506,0.161
CID000002519,ENSP00000175506,0.15
CID011020241,ENSP00000175506,0.15
CID000000126,ENSP00000175506,0.226
CID000006623,ENSP00000175506,0.15
CID000008794,ENSP00000175506,0.206
CID000449459,ENSP00000175506,0.15
CID002733525,ENSP00000175506,0.15
CID000024529,ENSP00000175506,0.167
CID000005994,ENSP00000175506,0.15
CID000005757,ENSP00000175506,0.15
CID005462190,ENSP00000175506,0.15
CID000151228,ENSP00000175506,0.239
CID000015625,ENSP00000175506,0.15
CID000000611,ENSP00000175506,0.199
CID000002336,ENSP00000175506,0.15
CID006436726,ENSP00000175506,0.186
CID000092180,ENSP00000175506,0.15
CID000041322,ENSP00000175506,0.15
CID000439231,ENSP00000178638,0.157
CID000092824,ENSP00000178638,0.239
CID000000961,ENSP00000178638,0.908
CID000000977,ENSP00000178638,0.225
CID000000280,ENSP00000178638,0.937
CID005280453,ENSP00000178638,0.15
CID000000273,ENSP00000178638,0.687
CID000001102,ENSP00000178638,0.189
CID000006274,ENSP00000178638,0.253
CID000001103,ENSP00000178638,0.239
CID000000135,ENSP00000178638,0.429
CID000637542,ENSP00000178638,0.374
CID000000996,ENSP00000178638,0.359
CID000000289,ENSP00000178638,0.363
CID000000242,ENSP00000178638,0.152
CID000000785,ENSP00000178638,0.376
CID000001057,ENSP00000178638,0.335
CID000000370,ENSP00000178638,0.376
CID000000460,ENSP00000178638,0.253
CID000000359,ENSP00000178638,0.307
CID000012793,ENSP00000178638,0.236
CID000124886,ENSP00000178638,0.18
CID000000338,ENSP00000178638,0.364
CID000007420,ENSP00000178638,0.463
CID000005054,ENSP00000178638,0.381
CID000007478,ENSP00000178638,0.17
CID000006623,ENSP00000178638,0.15
CID000008468,ENSP00000178638,0.337
CID000010742,ENSP00000178638,0.361
CID000005757,ENSP00000178638,0.824
CID003001028,ENSP00000178638,0.15
CID000689043,ENSP00000178638,0.361
CID000445858,ENSP00000178638,0.351
CID005280460,ENSP00000178638,0.561
CID000015625,ENSP00000178638,0.15
CID000066827,ENSP00000178638,0.181
CID000000767,ENSP00000178638,0.938
CID000003469,ENSP00000178638,0.308
CID000000072,ENSP00000178638,0.447
CID005281426,ENSP00000178638,0.631
CID005280343,ENSP00000178638,0.357
CID005280863,ENSP00000178638,0.198
CID000002336,ENSP00000178638,0.15
CID000007808,ENSP00000178638,0.245
CID054678503,ENSP00000178638,0.386
CID005281672,ENSP00000178638,0.204
CID005281666,ENSP00000178638,0.182
CID000000323,ENSP00000178638,0.363
CID000006738,ENSP00000178638,0.153
CID000005788,ENSP00000178638,0.15
CID000005793,ENSP00000179259,0.159
CID000439168,ENSP00000179259,0.274
CID000105021,ENSP00000179259,0.984
CID000443242,ENSP00000179259,0.154
CID000439160,ENSP00000179259,0.9
CID000000961,ENSP00000179259,0.9
CID000000977,ENSP00000179259,0.294
CID000001003,ENSP00000179259,0.9
CID000006830,ENSP00000179259,0.251
CID000005950,ENSP00000179259,0.322
CID000186004,ENSP00000179259,0.168
CID000000490,ENSP00000179259,0.18
CID002733525,ENSP00000179259,0.7
CID000440641,ENSP00000179259,0.908
CID000005994,ENSP00000179259,0.15
CID000000675,ENSP00000179259,0.167
CID000134970,ENSP00000179259,0.253
CID000000753,ENSP00000179259,0.288
CID000105024,ENSP00000179259,0.9
CID005280343,ENSP00000179259,0.15
CID000002336,ENSP00000179259,0.15
CID000443429,ENSP00000179259,0.156
CID000000961,ENSP00000180173,0.9
CID000005957,ENSP00000180173,0.9
CID000006022,ENSP00000180173,0.904
CID000001003,ENSP00000180173,0.913
CID000015625,ENSP00000180173,0.15
CID000128419,ENSP00000180173,0.21
CID000439163,ENSP00000180173,0.9
CID000000668,ENSP00000182377,0.9
CID000005892,ENSP00000182377,0.9
CID000439153,ENSP00000182377,0.9
CID000000783,ENSP00000182377,0.9
CID000005884,ENSP00000182377,0.9
CID000005885,ENSP00000182377,0.9
CID000000283,ENSP00000182377,0.178
CID000644109,ENSP00000182377,0.911
CID000000985,ENSP00000182377,0.912
CID000003893,ENSP00000182377,0.195
CID000087642,ENSP00000182377,0.907
CID000000984,ENSP00000182377,0.911
CID000002682,ENSP00000182377,0.908
CID005280453,ENSP00000182377,0.15
CID000008082,ENSP00000182377,0.196
CID000643975,ENSP00000182377,0.9
CID000006013,ENSP00000182377,0.15
CID000015625,ENSP00000182377,0.15
CID000011197,ENSP00000182377,0.211
CID005282096,ENSP00000182377,0.194
CID000002336,ENSP00000182377,0.15
CID003082032,ENSP00000182377,0.313
CID000444795,ENSP00000182377,0.15
CID000000977,ENSP00000196061,0.9
CID000001110,ENSP00000196061,0.9
CID000000280,ENSP00000196061,0.9
CID000000743,ENSP00000196061,0.153
CID000000051,ENSP00000196061,0.936
CID000065065,ENSP00000196061,0.224
CID011020241,ENSP00000196061,0.811
CID000160603,ENSP00000196061,0.181
CID000006623,ENSP00000196061,0.15
CID000005757,ENSP00000196061,0.15
CID000005962,ENSP00000196061,0.318
CID000023925,ENSP00000196061,0.158
CID000108121,ENSP00000196061,0.165
CID000009427,ENSP00000196061,0.16
CID000444493,ENSP00000196371,0.917
CID000005793,ENSP00000196371,0.165
CID000439945,ENSP00000196371,0.165
CID000010413,ENSP00000196371,0.203
CID000092135,ENSP00000196371,0.9
CID000005892,ENSP00000196371,0.906
CID000439153,ENSP00000196371,0.9
CID000001110,ENSP00000196371,0.913
CID000000783,ENSP00000196371,0.9
CID000000712,ENSP00000196371,0.413
CID000122283,ENSP00000196371,0.267
CID000087642,ENSP00000196371,0.911
CID000092153,ENSP00000196371,0.932
CID000000096,ENSP00000196371,0.98
CID000000180,ENSP00000196371,0.278
CID000439430,ENSP00000196371,0.228
CID006440013,ENSP00000196371,0.183
CID000010110,ENSP00000196371,0.175
CID000001066,ENSP00000196371,0.153
CID000000135,ENSP00000196371,0.176
CID000637542,ENSP00000196371,0.151
CID005280352,ENSP00000196371,0.159
CID000000289,ENSP00000196371,0.206
CID000092133,ENSP00000196371,0.911
CID000000242,ENSP00000196371,0.166
CID000001183,ENSP00000196371,0.231
CID000000702,ENSP00000196371,0.262
CID005460331,ENSP00000196371,0.19
CID000000104,ENSP00000196371,0.279
CID024798714,ENSP00000196371,0.15
CID000000991,ENSP00000196371,0.7
CID025137843,ENSP00000196371,0.9
CID000006128,ENSP00000196371,0.182
CID000006013,ENSP00000196371,0.181
CID000000071,ENSP00000196371,0.154
CID000006406,ENSP00000196371,0.192
CID000005570,ENSP00000196371,0.217
CID000445858,ENSP00000196371,0.216
CID000015625,ENSP00000196371,0.15
CID000000261,ENSP00000196371,0.262
CID000000263,ENSP00000196371,0.279
CID000000753,ENSP00000196371,0.911
CID000000072,ENSP00000196371,0.244
CID000105024,ENSP00000196371,0.537
CID000000611,ENSP00000196371,0.196
CID000441164,ENSP00000196371,0.213
CID025021177,ENSP00000196371,0.162
CID000002336,ENSP00000196371,0.15
CID000001003,ENSP00000198801,0.159
CID000644109,ENSP00000198801,0.29
CID000445639,ENSP00000198801,0.161
CID000087642,ENSP00000198801,0.908
CID005280453,ENSP00000198801,0.15
CID000000297,ENSP00000198801,0.164
CID000000991,ENSP00000198801,0.7
CID000006013,ENSP00000198801,0.15
CID000015625,ENSP00000198801,0.15
CID005280343,ENSP00000198801,0.15
CID000002336,ENSP00000198801,0.15
CID003082032,ENSP00000198801,0.9
CID005497111,ENSP00000198801,0.301
CID000005892,ENSP00000199936,0.9
CID000439153,ENSP00000199936,0.911
CID000000783,ENSP00000199936,0.9
CID000005885,ENSP00000199936,0.231
CID005280453,ENSP00000199936,0.824
CID000006128,ENSP00000199936,0.951
CID000005994,ENSP00000199936,0.85
CID000005870,ENSP00000199936,0.961
CID000006013,ENSP00000199936,0.929
CID000005754,ENSP00000199936,0.192
CID000222786,ENSP00000199936,0.199
CID000005757,ENSP00000199936,0.949
CID000005881,ENSP00000199936,0.746
CID000005839,ENSP00000199936,0.197
CID000005753,ENSP00000199936,0.215
CID000010635,ENSP00000199936,0.238
CID000008956,ENSP00000199936,0.443
CID000010634,ENSP00000199936,0.725
CID000005756,ENSP00000199936,0.907
CID000223997,ENSP00000199936,0.619
CID000440625,ENSP00000199936,0.9
CID000066414,ENSP00000199936,0.7
CID000003503,ENSP00000199936,0.347
CID000015625,ENSP00000199936,0.15
CID005280343,ENSP00000199936,0.521
CID005280863,ENSP00000199936,0.611
CID000002336,ENSP00000199936,0.15
CID000161824,ENSP00000199936,0.166
CID000444795,ENSP00000199936,0.15
CID005281666,ENSP00000199936,0.212
CID000000783,ENSP00000201586,0.9
CID000000867,ENSP00000201586,0.197
CID000087642,ENSP00000201586,0.218
CID000005997,ENSP00000201586,0.924
CID000010214,ENSP00000201586,0.909
CID000159296,ENSP00000201586,0.99
CID000010238,ENSP00000201586,0.198
CID000000118,ENSP00000201586,0.263
CID000121893,ENSP00000201586,0.216
CID000036143,ENSP00000201586,0.158
CID000656497,ENSP00000201586,0.177
CID000099478,ENSP00000201586,0.185
CID000000370,ENSP00000201586,0.153
CID000000887,ENSP00000201586,0.9
CID000000402,ENSP00000201586,0.221
CID000000098,ENSP00000201586,0.219
CID000005881,ENSP00000201586,0.991
CID000008955,ENSP00000201586,0.991
CID000005753,ENSP00000201586,0.236
CID000012594,ENSP00000201586,0.154
CID000065076,ENSP00000201586,0.162
CID001794426,ENSP00000201586,0.152
CID003295299,ENSP00000201586,0.158
CID000015625,ENSP00000201586,0.15
CID003036580,ENSP00000201586,0.209
CID000007005,ENSP00000201586,0.249
CID000001084,ENSP00000201586,0.219
CID000444493,ENSP00000205402,0.931
CID000005793,ENSP00000205402,0.163
CID000000175,ENSP00000205402,0.162
CID000001132,ENSP00000205402,0.957
CID000000961,ENSP00000205402,0.909
CID000005957,ENSP00000205402,0.915
CID000005892,ENSP00000205402,0.99
CID000439153,ENSP00000205402,0.989
CID000000977,ENSP00000205402,0.18
CID000006022,ENSP00000205402,0.919
CID000001003,ENSP00000205402,0.913
CID000001110,ENSP00000205402,0.916
CID000000783,ENSP00000205402,0.9
CID005280346,ENSP00000205402,0.161
CID000005885,ENSP00000205402,0.161
CID000023930,ENSP00000205402,0.9
CID000000280,ENSP00000205402,0.929
CID000000750,ENSP00000205402,0.913
CID000092753,ENSP00000205402,0.908
CID000087642,ENSP00000205402,0.915
CID003081383,ENSP00000205402,0.9
CID005497143,ENSP00000205402,0.9
CID000000222,ENSP00000205402,0.909
CID000008977,ENSP00000205402,0.9
CID000006830,ENSP00000205402,0.9
CID000033032,ENSP00000205402,0.9
CID000000051,ENSP00000205402,0.94
CID000005862,ENSP00000205402,0.9
CID000091443,ENSP00000205402,0.909
CID000000058,ENSP00000205402,0.9
CID000439175,ENSP00000205402,0.9
CID000001028,ENSP00000205402,0.161
CID000006274,ENSP00000205402,0.159
CID000444539,ENSP00000205402,0.391
CID009549326,ENSP00000205402,0.91
CID003036931,ENSP00000205402,0.906
CID011966111,ENSP00000205402,0.9
CID000006106,ENSP00000205402,0.923
CID000000049,ENSP00000205402,0.913
CID000000070,ENSP00000205402,0.927
CID000439286,ENSP00000205402,0.9
CID000092133,ENSP00000205402,0.906
CID011020241,ENSP00000205402,0.431
CID000000598,ENSP00000205402,0.208
CID000439258,ENSP00000205402,0.9
CID000000402,ENSP00000205402,0.161
CID000071567,ENSP00000205402,0.18
CID000001130,ENSP00000205402,0.365
CID000643975,ENSP00000205402,0.989
CID000006287,ENSP00000205402,0.9
CID000006306,ENSP00000205402,0.936
CID000165435,ENSP00000205402,0.908
CID006443760,ENSP00000205402,0.906
CID000165390,ENSP00000205402,0.9
CID000000071,ENSP00000205402,0.9
CID000000602,ENSP00000205402,0.169
CID000446013,ENSP00000205402,0.9
