CID,C
CID000001123,C00245
CID000001130,C00378
CID000001131,C01081
CID000001132,C00068
CID000001135,C00178
CID000001136,C04294
CID000001137,C04327
CID000001140,C01455
CID000001145,C01104
CID000001146,C00565
CID000001150,C00398
CID000001174,C00106
CID000001175,C00366
CID000001176,C00086
CID000001179,C01051
CID000001183,C00755
CID000001188,C00385
CID000001194,C04092
CID000001198,C00311
CID000001245,C05584
CID000001647,C05670
CID000001669,C05587
CID000001678,C05669
CID000001678,C16004
CID000001738,C05582
CID000001826,C05635
CID000001833,C05659
CID000001864,C05643
CID000002153,C07130
CID000002181,C06180
CID000002265,C06837
CID000002331,C09815
CID000002336,C07535
CID000002353,C00757
CID000002353,C12679
CID000002519,C07481
CID000002554,C06868
CID000002555,C07496
CID000002682,C00823
CID000002707,C06899
CID000002758,C09844
CID000002771,C07572
CID000002879,C01468
CID000002907,C06933
CID000002907,C07888
CID000002969,C01571
CID000003035,C04596
CID000003036,C04623
CID000003121,C07185
CID000003314,C10453
CID000003331,C07501
CID000003385,C07649
CID000003414,C06456
CID000003469,C00628
CID000003503,C07667
CID000003614,C05127
CID000003676,C07073
CID000003690,C07047
CID000003767,C07054
CID000003776,C01845
CID000003845,C01717
CID000003857,C05672
CID000003893,C02679
CID000004095,C07163
CID000004650,C00472
CID000004650,C15602
CID000004680,C06533
CID000004687,C13747
CID000004970,C05189
CID000004971,C02191
CID000004973,C00032
CID000005054,C01751
CID000005154,C06162
CID000005202,C00780
CID000005236,C06108
CID000005281,C01530
CID000005386,C12673
CID000005429,C07480
CID000005429,C19601
CID000005570,C01004
CID000005610,C00483
CID000005699,C02470
CID000005753,C02140
CID000005754,C00735
CID000005756,C05141
CID000005757,C00951
CID000005778,C16614
CID000005779,C00121
CID000005780,C00794
CID000005788,C14103
CID000005789,C00214
CID000005790,C11736
CID000005793,C00031
CID000005800,C01987
CID000005810,C01157
CID000005815,C00788
CID000005819,C01829
CID000005819,C08212
CID000005819,C08215
CID000005839,C01780
CID000005862,C00097
CID000005864,C05472
CID000005870,C00468
CID000005879,C00523
CID000005880,C04373
CID000005881,C01227
CID000005884,C00005
CID000005885,C00006
CID000005892,C00003
CID000005920,C02465
CID000005922,C07446
CID000005942,C03375
CID000005950,C00041
CID000005951,C00065
CID000005957,C00002
CID000005958,C00092
CID000005960,C00049
CID000005960,C13058
CID000005961,C00064
CID000005962,C00047
CID000005988,C00089
CID000005988,C11477
CID000005994,C00410
CID000005997,C00187
CID000006001,C19488
CID000006013,C00535
CID000006021,C00294
CID000006022,C00008
CID000006029,C00299
CID000006030,C00105
CID000006031,C00015
CID000006032,C01822
CID000006032,C08046
CID000006036,C00124
CID000006037,C00504
CID000006047,C00355
CID000006054,C05853
CID000006057,C00082
CID000006058,C01678
CID000006076,C00575
CID000006083,C00020
CID000006083,C18344
CID000006088,C06213
CID000006101,C06677
CID000006106,C00123
CID000006112,C16241
CID000006115,C00292
CID000006128,C00280
CID000006131,C00055
CID000006132,C00112
CID000006133,C00075
CID000006137,C00073
CID000006140,C00079
CID000006166,C03205
CID000006167,C07592
CID000006175,C00475
CID000006176,C00063
CID000006195,C14090
CID000006201,C14099
CID000006211,C00813
CID000006213,C11142
CID000006238,C01176
CID000006251,C00392
CID000006262,C00077
CID000006267,C00152
CID000006274,C00135
CID000006278,C18246
CID000006287,C00183
CID000006288,C00188
CID000006305,C00078
CID000006306,C00407
CID000006318,C02370
CID000006322,C00062
CID000006325,C06547
CID000006325,C19503
CID000006326,C01548
CID000006329,C00218
CID000006338,C06793
CID000006338,C19508
CID000006344,C02271
CID000006354,C06548
CID000006365,C18247
CID000006366,C14039
CID000006395,C11145
CID000006406,C02659
CID000006407,C14866
CID000006421,C11150
CID000006421,C18808
CID000006508,C00296
CID000006575,C06790
CID000006576,C14858
CID000006577,C14859
CID000006579,C01659
CID000006581,C00511
CID000006581,C19501
CID000006584,C17530
CID000006593,C14867
CID000006597,C11149
CID000006613,C00864
CID000006613,C12276
CID000006618,C13620
CID000006623,C13624
CID000006654,C09880
CID000006723,C00847
CID000006736,C08313
CID000006738,C14088
CID000006802,C00387
CID000006804,C00144
CID000006812,C16201
CID000006830,C00044
CID000006831,C00104
CID000006844,C03203
CID000006849,C14040
CID000006854,C08060
CID000006912,C00379
CID000006912,C00474
CID000006926,C06333
CID000006994,C07213
CID000006998,C06202
CID000007002,C14082
CID000007005,C11714
CID000007027,C00198
CID000007027,C16830
CID000007028,C02765
CID000007055,C14098
CID000007095,C06588
CID000007123,C14101
CID000007127,C10454
CID000007237,C07212
CID000007244,C14841
CID000007261,C14401
CID000007293,C16364
CID000007322,C16199
CID000007339,C00119
CID000007405,C01879
CID000007410,C07113
CID000007413,C09822
CID000007416,C06813
CID000007418,C07211
CID000007420,C00587
CID000007427,C01083
CID000007444,C16398
CID000007463,C06575
CID000007469,C10700
CID000007470,C01454
CID000007478,C02519
CID000007489,C06337
CID000007500,C07111
CID000007501,C07083
CID000007501,C19506
CID000007505,C09814
CID000007518,C02720
CID000007533,C02824
CID000007533,C19378
CID000007618,C06771
CID000007680,C02505
CID000007725,C06758
CID000007768,C06593
CID000007771,C14582
CID000007808,C14453
CID000007809,C06756
CID000007839,C11088
CID000007847,C01471
CID000007855,C01998
CID000007866,C05123
CID000007929,C07208
CID000007961,C11036
CID000007965,C00571
CID000007966,C00854
CID000007967,C00414
CID000007967,C19862
CID000008078,C11249
CID000008082,C01746
CID000008113,C06772
CID000008215,C08281
CID000008259,C07490
CID000008299,C05235
CID000008339,C06193
CID000008369,C11918
CID000008373,C07215
CID000008376,C16391
CID000008378,C01737
CID000008404,C14114
CID000008420,C16202
CID000008424,C00729
CID000008424,C02066
CID000008434,C05784
CID000008461,C11006
CID000008468,C06672
CID000008479,C06335
CID000008530,C02617
CID000008582,C00130
CID000008583,C00081
CID000008629,C00029
CID000008640,C14790
CID000008642,C04242
CID000008663,C11713
CID000008742,C00493
CID000008768,C16700
CID000008794,C16074
